unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
05029950100,2023,950100,Conway County,Arkansas,193,20,80,43,50,3540,115,183,1588,511,475,465,203,10.4,41.5,22.3,25.9,3.2,5.2,44.9,14.4,13.4,13.1,5.7
05029950200,2023,950200,Conway County,Arkansas,138,0,72,47,19,2307,110,192,979,385,193,295,153,0.0,52.2,34.1,13.8,4.8,8.3,42.4,16.7,8.4,12.8,6.6
05029950300,2023,950300,Conway County,Arkansas,625,0,429,165,31,3440,34,313,1523,713,310,426,121,0.0,68.6,26.4,5.0,1.0,9.1,44.3,20.7,9.0,12.4,3.5
05029950400,2023,950400,Conway County,Arkansas,255,26,113,116,0,1688,27,53,757,316,208,261,66,10.2,44.3,45.5,0.0,1.6,3.1,44.8,18.7,12.3,15.5,3.9
05029950500,2023,950500,Conway County,Arkansas,275,30,164,77,4,2061,83,164,817,485,94,173,245,10.9,59.6,28.0,1.5,4.0,8.0,39.6,23.5,4.6,8.4,11.9
05029950600,2023,950600,Conway County,Arkansas,87,21,29,35,2,1541,58,107,671,363,102,179,61,24.1,33.3,40.2,2.3,3.8,6.9,43.5,23.6,6.6,11.6,4.0
05031000101,2023,101,Craighead County,Arkansas,765,138,210,243,174,2469,313,133,674,620,61,443,225,18.0,27.5,31.8,22.7,12.7,5.4,27.3,25.1,2.5,17.9,9.1
05031000102,2023,102,Craighead County,Arkansas,270,64,79,98,29,2262,41,171,789,555,112,354,240,23.7,29.3,36.3,10.7,1.8,7.6,34.9,24.5,5.0,15.6,10.6
05031000200,2023,200,Craighead County,Arkansas,450,38,70,342,0,2936,87,104,993,1036,186,404,126,8.4,15.6,76.0,0.0,3.0,3.5,33.8,35.3,6.3,13.8,4.3
05031000300,2023,300,Craighead County,Arkansas,671,109,83,405,74,4863,58,114,1250,1241,412,932,856,16.2,12.4,60.4,11.0,1.2,2.3,25.7,25.5,8.5,19.2,17.6
05031000401,2023,401,Craighead County,Arkansas,325,20,263,27,15,4032,173,354,1624,620,339,530,392,6.2,80.9,8.3,4.6,4.3,8.8,40.3,15.4,8.4,13.1,9.7
05031000403,2023,403,Craighead County,Arkansas,670,0,397,88,185,2579,78,148,789,603,314,423,224,0.0,59.3,13.1,27.6,3.0,5.7,30.6,23.4,12.2,16.4,8.7
05031000404,2023,404,Craighead County,Arkansas,598,0,283,252,63,3831,231,191,1708,675,244,351,431,0.0,47.3,42.1,10.5,6.0,5.0,44.6,17.6,6.4,9.2,11.3
05031000501,2023,501,Craighead County,Arkansas,801,18,328,258,197,6008,215,202,864,1448,473,1589,1217,2.2,40.9,32.2,24.6,3.6,3.4,14.4,24.1,7.9,26.4,20.3
05031000502,2023,501,Craighead County,Arkansas,393,33,72,224,64,4367,204,458,1336,1209,288,626,246,8.4,18.3,57.0,16.3,4.7,10.5,30.6,27.7,6.6,14.3,5.6
05031000601,2023,601,Craighead County,Arkansas,780,0,115,484,181,3313,168,74,1168,546,548,442,367,0.0,14.7,62.1,23.2,5.1,2.2,35.3,16.5,16.5,13.3,11.1
05031000602,2023,602,Craighead County,Arkansas,2547,45,241,2051,210,1932,254,254,647,422,119,105,131,1.8,9.5,80.5,8.2,13.1,13.1,33.5,21.8,6.2,5.4,6.8
05031000701,2023,701,Craighead County,Arkansas,275,29,158,88,0,3213,64,262,1191,794,199,429,274,10.5,57.5,32.0,0.0,2.0,8.2,37.1,24.7,6.2,13.4,8.5
05031000702,2023,702,Craighead County,Arkansas,232,14,148,38,32,2358,117,156,941,455,212,338,139,6.0,63.8,16.4,13.8,5.0,6.6,39.9,19.3,9.0,14.3,5.9
05031000803,2023,802,Craighead County,Arkansas,382,110,113,113,46,3881,26,89,911,741,262,938,914,28.8,29.6,29.6,12.0,0.7,2.3,23.5,19.1,6.8,24.2,23.6
05031000804,2023,803,Craighead County,Arkansas,162,3,72,65,22,2215,88,22,418,523,322,518,324,1.9,44.4,40.1,13.6,4.0,1.0,18.9,23.6,14.5,23.4,14.6
05031000805,2023,805,Craighead County,Arkansas,867,135,118,523,91,2230,22,10,729,401,377,444,247,15.6,13.6,60.3,10.5,1.0,0.4,32.7,18.0,16.9,19.9,11.1
05031000806,2023,806,Craighead County,Arkansas,458,87,116,155,100,2721,16,91,509,414,317,973,401,19.0,25.3,33.8,21.8,0.6,3.3,18.7,15.2,11.7,35.8,14.7
05031000900,2023,900,Craighead County,Arkansas,431,20,203,173,35,4100,128,307,1764,838,454,366,243,4.6,47.1,40.1,8.1,3.1,7.5,43.0,20.4,11.1,8.9,5.9
05031001000,2023,1000,Craighead County,Arkansas,279,56,73,137,13,2625,188,167,1194,443,119,321,193,20.1,26.2,49.1,4.7,7.2,6.4,45.5,16.9,4.5,12.2,7.4
05031001101,2023,1101,Craighead County,Arkansas,165,9,54,75,27,3596,21,280,1322,632,219,722,400,5.5,32.7,45.5,16.4,0.6,7.8,36.8,17.6,6.1,20.1,11.1
05031001102,2023,1102,Craighead County,Arkansas,253,0,81,92,80,3229,286,109,1480,529,304,301,220,0.0,32.0,36.4,31.6,8.9,3.4,45.8,16.4,9.4,9.3,6.8
05031001200,2023,1200,Craighead County,Arkansas,243,11,131,51,50,2952,180,335,906,868,110,418,135,4.5,53.9,21.0,20.6,6.1,11.3,30.7,29.4,3.7,14.2,4.6
05033020101,2023,20101,Crawford County,Arkansas,140,51,70,19,0,2043,68,163,658,547,199,331,77,36.4,50.0,13.6,0.0,3.3,8.0,32.2,26.8,9.7,16.2,3.8
05033020102,2023,20102,Crawford County,Arkansas,144,30,15,86,13,1872,65,260,618,244,228,343,114,20.8,10.4,59.7,9.0,3.5,13.9,33.0,13.0,12.2,18.3,6.1
05033020204,2023,20204,Crawford County,Arkansas,423,57,141,225,0,4480,77,353,1779,858,233,972,208,13.5,33.3,53.2,0.0,1.7,7.9,39.7,19.2,5.2,21.7,4.6
05033020205,2023,20205,Crawford County,Arkansas,180,78,64,23,15,2510,35,478,761,602,242,140,252,43.3,35.6,12.8,8.3,1.4,19.0,30.3,24.0,9.6,5.6,10.0
05033020206,2023,20206,Crawford County,Arkansas,84,0,15,69,0,1370,135,148,548,254,114,113,58,0.0,17.9,82.1,0.0,9.9,10.8,40.0,18.5,8.3,8.2,4.2
05033020207,2023,20207,Crawford County,Arkansas,339,29,242,58,10,2592,137,74,722,785,353,333,188,8.6,71.4,17.1,2.9,5.3,2.9,27.9,30.3,13.6,12.8,7.3
05033020208,2023,20208,Crawford County,Arkansas,209,42,73,87,7,2580,131,183,810,717,265,397,77,20.1,34.9,41.6,3.3,5.1,7.1,31.4,27.8,10.3,15.4,3.0
05033020301,2023,20301,Crawford County,Arkansas,291,8,61,131,91,2856,144,96,1078,769,211,277,281,2.7,21.0,45.0,31.3,5.0,3.4,37.7,26.9,7.4,9.7,9.8
05033020302,2023,20302,Crawford County,Arkansas,279,52,138,89,0,3177,115,260,1099,657,212,559,275,18.6,49.5,31.9,0.0,3.6,8.2,34.6,20.7,6.7,17.6,8.7
05033020401,2023,20401,Crawford County,Arkansas,515,52,249,101,113,3540,115,239,1238,898,493,444,113,10.1,48.3,19.6,21.9,3.2,6.8,35.0,25.4,13.9,12.5,3.2
05033020402,2023,20402,Crawford County,Arkansas,450,54,244,146,6,2935,76,397,1100,644,258,348,112,12.0,54.2,32.4,1.3,2.6,13.5,37.5,21.9,8.8,11.9,3.8
05033020501,2023,20501,Crawford County,Arkansas,609,234,320,55,0,2624,253,449,1249,309,122,235,7,38.4,52.5,9.0,0.0,9.6,17.1,47.6,11.8,4.6,9.0,0.3
05033020502,2023,20502,Crawford County,Arkansas,168,44,71,38,15,3272,78,466,1536,585,127,401,79,26.2,42.3,22.6,8.9,2.4,14.2,46.9,17.9,3.9,12.3,2.4
05033020601,2023,20601,Crawford County,Arkansas,125,48,0,76,1,1677,95,162,446,359,81,300,234,38.4,0.0,60.8,0.8,5.7,9.7,26.6,21.4,4.8,17.9,14.0
05033020602,2023,20602,Crawford County,Arkansas,777,104,356,244,73,3855,100,180,1380,869,606,459,261,13.4,45.8,31.4,9.4,2.6,4.7,35.8,22.5,15.7,11.9,6.8
05035030101,2023,30101,Crittenden County,Arkansas,197,39,136,22,0,1069,111,236,372,193,87,40,30,19.8,69.0,11.2,0.0,10.4,22.1,34.8,18.1,8.1,3.7,2.8
05035030102,2023,30102,Crittenden County,Arkansas,310,20,147,143,0,1738,73,213,825,362,138,114,13,6.5,47.4,46.1,0.0,4.2,12.3,47.5,20.8,7.9,6.6,0.7
05035030201,2023,30201,Crittenden County,Arkansas,543,42,245,226,30,3622,83,143,1712,821,127,658,78,7.7,45.1,41.6,5.5,2.3,3.9,47.3,22.7,3.5,18.2,2.2
05035030202,2023,30202,Crittenden County,Arkansas,286,54,85,119,28,2436,32,196,592,630,210,541,235,18.9,29.7,41.6,9.8,1.3,8.0,24.3,25.9,8.6,22.2,9.6
05035030301,2023,30301,Crittenden County,Arkansas,317,64,201,43,9,1729,81,169,729,352,153,216,29,20.2,63.4,13.6,2.8,4.7,9.8,42.2,20.4,8.8,12.5,1.7
05035030302,2023,30302,Crittenden County,Arkansas,266,0,181,85,0,1786,105,250,764,353,182,106,26,0.0,68.0,32.0,0.0,5.9,14.0,42.8,19.8,10.2,5.9,1.5
05035030503,2023,30502,Crittenden County,Arkansas,56,0,24,32,0,1072,53,147,532,219,46,64,11,0.0,42.9,57.1,0.0,4.9,13.7,49.6,20.4,4.3,6.0,1.0
05035030601,2023,30601,Crittenden County,Arkansas,66,8,38,17,3,408,30,67,169,61,38,38,5,12.1,57.6,25.8,4.5,7.4,16.4,41.4,15.0,9.3,9.3,1.2
05035030602,2023,30602,Crittenden County,Arkansas,292,21,155,72,44,2234,29,327,975,411,158,236,98,7.2,53.1,24.7,15.1,1.3,14.6,43.6,18.4,7.1,10.6,4.4
05035030701,2023,30701,Crittenden County,Arkansas,97,5,24,68,0,735,30,98,352,176,37,35,7,5.2,24.7,70.1,0.0,4.1,13.3,47.9,23.9,5.0,4.8,1.0
05035030702,2023,30702,Crittenden County,Arkansas,69,0,50,12,7,606,64,129,157,125,37,82,12,0.0,72.5,17.4,10.1,10.6,21.3,25.9,20.6,6.1,13.5,2.0
05035030703,2023,30702,Crittenden County,Arkansas,95,46,33,16,0,757,69,147,294,115,72,40,20,48.4,34.7,16.8,0.0,9.1,19.4,38.8,15.2,9.5,5.3,2.6
05035030803,2023,30802,Crittenden County,Arkansas,114,19,30,49,16,1205,0,60,394,456,76,122,97,16.7,26.3,43.0,14.0,0.0,5.0,32.7,37.8,6.3,10.1,8.0
05035030804,2023,30804,Crittenden County,Arkansas,335,46,88,168,33,2736,104,98,1007,761,264,141,361,13.7,26.3,50.1,9.9,3.8,3.6,36.8,27.8,9.6,5.2,13.2
05035030805,2023,30805,Crittenden County,Arkansas,365,4,212,142,7,2075,51,126,605,515,304,303,171,1.1,58.1,38.9,1.9,2.5,6.1,29.2,24.8,14.7,14.6,8.2
05035030806,2023,30806,Crittenden County,Arkansas,300,29,92,117,62,2356,40,122,527,607,276,604,180,9.7,30.7,39.0,20.7,1.7,5.2,22.4,25.8,11.7,25.6,7.6
05035030807,2023,30807,Crittenden County,Arkansas,119,28,59,26,6,1040,40,69,333,270,86,143,99,23.5,49.6,21.8,5.0,3.8,6.6,32.0,26.0,8.3,13.8,9.5
05035031000,2023,31000,Crittenden County,Arkansas,85,22,32,23,8,829,114,175,283,115,37,58,47,25.9,37.6,27.1,9.4,13.8,21.1,34.1,13.9,4.5,7.0,5.7
05035031100,2023,31100,Crittenden County,Arkansas,176,45,67,64,0,1007,101,199,442,121,26,105,13,25.6,38.1,36.4,0.0,10.0,19.8,43.9,12.0,2.6,10.4,1.3
05035031200,2023,31200,Crittenden County,Arkansas,95,6,54,35,0,993,158,138,429,168,45,20,35,6.3,56.8,36.8,0.0,15.9,13.9,43.2,16.9,4.5,2.0,3.5
05037950100,2023,950100,Cross County,Arkansas,91,12,66,13,0,619,85,159,185,141,30,19,0,13.2,72.5,14.3,0.0,13.7,25.7,29.9,22.8,4.8,3.1,0.0
05037950200,2023,950200,Cross County,Arkansas,254,18,64,164,8,2255,104,211,1123,458,100,215,44,7.1,25.2,64.6,3.1,4.6,9.4,49.8,20.3,4.4,9.5,2.0
05037950300,2023,950300,Cross County,Arkansas,103,6,57,40,0,1061,39,51,543,258,26,119,25,5.8,55.3,38.8,0.0,3.7,4.8,51.2,24.3,2.5,11.2,2.4
05037950400,2023,950400,Cross County,Arkansas,142,46,32,64,0,1817,12,104,812,464,196,148,81,32.4,22.5,45.1,0.0,0.7,5.7,44.7,25.5,10.8,8.1,4.5
05037950500,2023,950500,Cross County,Arkansas,286,20,152,97,17,2930,154,597,1349,437,140,213,40,7.0,53.1,33.9,5.9,5.3,20.4,46.0,14.9,4.8,7.3,1.4
05037950600,2023,950600,Cross County,Arkansas,286,17,197,72,0,2778,213,172,819,444,334,439,357,5.9,68.9,25.2,0.0,7.7,6.2,29.5,16.0,12.0,15.8,12.9
05039970100,2023,970100,Dallas County,Arkansas,82,14,56,12,0,784,12,29,474,143,46,62,18,17.1,68.3,14.6,0.0,1.5,3.7,60.5,18.2,5.9,7.9,2.3
05039970200,2023,970200,Dallas County,Arkansas,68,1,37,15,15,1515,57,151,684,244,150,155,74,1.5,54.4,22.1,22.1,3.8,10.0,45.1,16.1,9.9,10.2,4.9
05039970300,2023,970300,Dallas County,Arkansas,309,40,235,18,16,2300,53,203,1067,561,213,161,42,12.9,76.1,5.8,5.2,2.3,8.8,46.4,24.4,9.3,7.0,1.8
05041950100,2023,950100,Desha County,Arkansas,128,38,16,52,22,1020,75,136,458,148,44,96,63,29.7,12.5,40.6,17.2,7.4,13.3,44.9,14.5,4.3,9.4,6.2
05041950200,2023,950200,Desha County,Arkansas,264,25,167,66,6,2481,209,305,929,647,78,183,130,9.5,63.3,25.0,2.3,8.4,12.3,37.4,26.1,3.1,7.4,5.2
05041950300,2023,950300,Desha County,Arkansas,133,0,6,119,8,960,117,164,421,119,96,20,23,0.0,4.5,89.5,6.0,12.2,17.1,43.9,12.4,10.0,2.1,2.4
05041950400,2023,950400,Desha County,Arkansas,156,15,108,10,23,1972,307,207,864,359,47,112,76,9.6,69.2,6.4,14.7,15.6,10.5,43.8,18.2,2.4,5.7,3.9
05041950500,2023,950500,Desha County,Arkansas,67,0,29,21,17,1070,33,106,411,176,69,156,119,0.0,43.3,31.3,25.4,3.1,9.9,38.4,16.4,6.4,14.6,11.1
05043490100,2023,490100,Drew County,Arkansas,248,67,113,30,38,1481,102,185,677,192,32,219,74,27.0,45.6,12.1,15.3,6.9,12.5,45.7,13.0,2.2,14.8,5.0
05043490200,2023,490200,Drew County,Arkansas,250,54,58,138,0,1574,45,210,452,430,139,146,152,21.6,23.2,55.2,0.0,2.9,13.3,28.7,27.3,8.8,9.3,9.7
05043490300,2023,490300,Drew County,Arkansas,1380,139,224,848,169,3287,45,212,1207,421,191,753,458,10.1,16.2,61.4,12.2,1.4,6.4,36.7,12.8,5.8,22.9,13.9
05043490400,2023,490400,Drew County,Arkansas,284,51,79,154,0,2069,119,97,818,577,155,223,80,18.0,27.8,54.2,0.0,5.8,4.7,39.5,27.9,7.5,10.8,3.9
05043490500,2023,490500,Drew County,Arkansas,209,49,133,25,2,2557,193,203,1059,456,192,380,74,23.4,63.6,12.0,1.0,7.5,7.9,41.4,17.8,7.5,14.9,2.9
05045030101,2023,30101,Faulkner County,Arkansas,179,22,68,73,16,2091,44,101,925,530,127,208,156,12.3,38.0,40.8,8.9,2.1,4.8,44.2,25.3,6.1,9.9,7.5
05045030102,2023,30102,Faulkner County,Arkansas,567,74,131,214,148,4108,27,31,1698,734,539,680,399,13.1,23.1,37.7,26.1,0.7,0.8,41.3,17.9,13.1,16.6,9.7
05045030103,2023,30102,Faulkner County,Arkansas,233,50,79,91,13,2251,46,92,722,514,116,490,271,21.5,33.9,39.1,5.6,2.0,4.1,32.1,22.8,5.2,21.8,12.0
05045030104,2023,30104,Faulkner County,Arkansas,391,19,148,210,14,3210,87,50,1222,861,189,538,263,4.9,37.9,53.7,3.6,2.7,1.6,38.1,26.8,5.9,16.8,8.2
05045030201,2023,30201,Faulkner County,Arkansas,304,43,188,28,45,2103,38,105,823,463,135,374,165,14.1,61.8,9.2,14.8,1.8,5.0,39.1,22.0,6.4,17.8,7.8
05045030202,2023,30202,Faulkner County,Arkansas,181,44,66,71,0,1785,145,219,579,329,145,217,151,24.3,36.5,39.2,0.0,8.1,12.3,32.4,18.4,8.1,12.2,8.5
05045030301,2023,30301,Faulkner County,Arkansas,652,58,306,215,73,3760,19,71,1202,958,540,765,205,8.9,46.9,33.0,11.2,0.5,1.9,32.0,25.5,14.4,20.3,5.5
05045030302,2023,30302,Faulkner County,Arkansas,441,0,80,294,67,4522,61,149,1320,1229,605,683,475,0.0,18.1,66.7,15.2,1.3,3.3,29.2,27.2,13.4,15.1,10.5
05045030303,2023,30302,Faulkner County,Arkansas,268,35,206,21,6,3395,158,111,1344,766,219,551,246,13.1,76.9,7.8,2.2,4.7,3.3,39.6,22.6,6.5,16.2,7.2
05045030401,2023,30401,Faulkner County,Arkansas,169,36,60,67,6,2210,5,45,422,692,95,543,408,21.3,35.5,39.6,3.6,0.2,2.0,19.1,31.3,4.3,24.6,18.5
05045030402,2023,30402,Faulkner County,Arkansas,352,55,135,154,8,2964,27,8,1147,624,234,631,293,15.6,38.4,43.8,2.3,0.9,0.3,38.7,21.1,7.9,21.3,9.9
05045030403,2023,30402,Faulkner County,Arkansas,286,20,165,19,82,2747,146,156,881,655,175,540,194,7.0,57.7,6.6,28.7,5.3,5.7,32.1,23.8,6.4,19.7,7.1
05045030404,2023,30404,Faulkner County,Arkansas,166,19,107,40,0,1635,5,73,639,423,90,310,95,11.4,64.5,24.1,0.0,0.3,4.5,39.1,25.9,5.5,19.0,5.8
05045030502,2023,30502,Faulkner County,Arkansas,1196,64,198,681,253,2701,12,93,736,744,163,806,147,5.4,16.6,56.9,21.2,0.4,3.4,27.2,27.5,6.0,29.8,5.4
05045030503,2023,30502,Faulkner County,Arkansas,931,0,49,654,228,3165,28,26,942,492,227,767,683,0.0,5.3,70.2,24.5,0.9,0.8,29.8,15.5,7.2,24.2,21.6
05045030504,2023,30504,Faulkner County,Arkansas,508,22,91,214,181,4367,23,73,340,911,395,1134,1491,4.3,17.9,42.1,35.6,0.5,1.7,7.8,20.9,9.0,26.0,34.1
05045030600,2023,30600,Faulkner County,Arkansas,610,76,51,424,59,3738,74,180,812,613,539,693,827,12.5,8.4,69.5,9.7,2.0,4.8,21.7,16.4,14.4,18.5,22.1
05045030701,2023,30701,Faulkner County,Arkansas,1676,37,300,1274,65,1732,85,101,595,286,127,327,211,2.2,17.9,76.0,3.9,4.9,5.8,34.4,16.5,7.3,18.9,12.2
05045030702,2023,30702,Faulkner County,Arkansas,770,43,242,302,183,2483,54,131,893,815,109,273,208,5.6,31.4,39.2,23.8,2.2,5.3,36.0,32.8,4.4,11.0,8.4
05045030800,2023,30800,Faulkner County,Arkansas,3647,1,470,2837,339,2140,84,34,483,548,209,389,393,0.0,12.9,77.8,9.3,3.9,1.6,22.6,25.6,9.8,18.2,18.4
05045030900,2023,30900,Faulkner County,Arkansas,875,77,205,505,88,1848,84,170,759,363,96,309,67,8.8,23.4,57.7,10.1,4.5,9.2,41.1,19.6,5.2,16.7,3.6
05045031001,2023,31001,Faulkner County,Arkansas,690,27,95,201,367,2933,84,132,445,630,203,849,590,3.9,13.8,29.1,53.2,2.9,4.5,15.2,21.5,6.9,28.9,20.1
05045031003,2023,31002,Faulkner County,Arkansas,717,47,72,430,168,1672,62,91,484,455,190,178,212,6.6,10.0,60.0,23.4,3.7,5.4,28.9,27.2,11.4,10.6,12.7
05045031006,2023,31006,Faulkner County,Arkansas,460,6,104,179,171,2503,28,71,755,313,122,756,458,1.3,22.6,38.9,37.2,1.1,2.8,30.2,12.5,4.9,30.2,18.3
05045031007,2023,31007,Faulkner County,Arkansas,1203,4,137,742,320,1975,67,47,236,317,45,837,426,0.3,11.4,61.7,26.6,3.4,2.4,11.9,16.1,2.3,42.4,21.6
05045031008,2023,31008,Faulkner County,Arkansas,596,17,131,404,44,3187,194,12,535,601,276,954,615,2.9,22.0,67.8,7.4,6.1,0.4,16.8,18.9,8.7,29.9,19.3
05045031101,2023,31101,Faulkner County,Arkansas,406,85,171,146,4,3596,161,217,1631,664,264,511,148,20.9,42.1,36.0,1.0,4.5,6.0,45.4,18.5,7.3,14.2,4.1
05045031102,2023,31102,Faulkner County,Arkansas,359,28,126,135,70,3629,416,102,1279,751,148,637,296,7.8,35.1,37.6,19.5,11.5,2.8,35.2,20.7,4.1,17.6,8.2
05047950100,2023,950100,Franklin County,Arkansas,186,12,129,40,5,2187,233,140,714,411,339,255,95,6.5,69.4,21.5,2.7,10.7,6.4,32.6,18.8,15.5,11.7,4.3
05047950201,2023,950201,Franklin County,Arkansas,214,52,139,21,2,2464,98,185,1128,617,164,141,131,24.3,65.0,9.8,0.9,4.0,7.5,45.8,25.0,6.7,5.7,5.3
05047950202,2023,950202,Franklin County,Arkansas,250,40,113,48,49,2600,140,220,1120,621,296,78,125,16.0,45.2,19.2,19.6,5.4,8.5,43.1,23.9,11.4,3.0,4.8
05047950301,2023,950301,Franklin County,Arkansas,363,75,198,75,15,2689,77,255,1307,480,277,237,56,20.7,54.5,20.7,4.1,2.9,9.5,48.6,17.9,10.3,8.8,2.1
05047950302,2023,950302,Franklin County,Arkansas,219,52,58,72,37,2156,33,183,792,387,287,369,105,23.7,26.5,32.9,16.9,1.5,8.5,36.7,17.9,13.3,17.1,4.9
05049550101,2023,550101,Fulton County,Arkansas,159,38,75,46,0,2659,93,271,1129,561,138,282,185,23.9,47.2,28.9,0.0,3.5,10.2,42.5,21.1,5.2,10.6,7.0
05049550102,2023,550102,Fulton County,Arkansas,114,44,24,37,9,1673,21,175,658,444,141,174,60,38.6,21.1,32.5,7.9,1.3,10.5,39.3,26.5,8.4,10.4,3.6
05049550201,2023,550201,Fulton County,Arkansas,183,35,77,71,0,2479,164,80,945,695,190,265,140,19.1,42.1,38.8,0.0,6.6,3.2,38.1,28.0,7.7,10.7,5.6
05049550202,2023,550202,Fulton County,Arkansas,331,0,298,10,23,2145,97,198,925,398,225,118,184,0.0,90.0,3.0,6.9,4.5,9.2,43.1,18.6,10.5,5.5,8.6
05051010301,2023,10301,Garland County,Arkansas,220,53,67,85,15,2874,32,322,1434,553,283,197,53,24.1,30.5,38.6,6.8,1.1,11.2,49.9,19.2,9.8,6.9,1.8
05051010302,2023,10302,Garland County,Arkansas,213,11,46,45,111,1382,19,86,427,342,283,137,88,5.2,21.6,21.1,52.1,1.4,6.2,30.9,24.7,20.5,9.9,6.4
05051010401,2023,10401,Garland County,Arkansas,193,49,95,46,3,3215,28,158,1071,829,190,569,370,25.4,49.2,23.8,1.6,0.9,4.9,33.3,25.8,5.9,17.7,11.5
05051010402,2023,10402,Garland County,Arkansas,302,11,84,186,21,2766,91,188,1233,730,309,145,70,3.6,27.8,61.6,7.0,3.3,6.8,44.6,26.4,11.2,5.2,2.5
05051010501,2023,10501,Garland County,Arkansas,202,7,162,16,17,3261,16,107,910,869,380,682,297,3.5,80.2,7.9,8.4,0.5,3.3,27.9,26.6,11.7,20.9,9.1
05051010502,2023,10502,Garland County,Arkansas,210,11,72,56,71,1412,129,184,429,343,119,179,29,5.2,34.3,26.7,33.8,9.1,13.0,30.4,24.3,8.4,12.7,2.1
05051010601,2023,10601,Garland County,Arkansas,122,0,51,71,0,1217,79,106,310,383,164,162,13,0.0,41.8,58.2,0.0,6.5,8.7,25.5,31.5,13.5,13.3,1.1
05051010602,2023,10602,Garland County,Arkansas,216,24,62,130,0,1240,94,190,450,289,146,71,0,11.1,28.7,60.2,0.0,7.6,15.3,36.3,23.3,11.8,5.7,0.0
05051010700,2023,10700,Garland County,Arkansas,127,56,48,15,8,1376,110,117,492,366,42,206,43,44.1,37.8,11.8,6.3,8.0,8.5,35.8,26.6,3.1,15.0,3.1
05051010800,2023,10800,Garland County,Arkansas,477,3,264,210,0,1778,97,144,624,433,103,229,148,0.6,55.3,44.0,0.0,5.5,8.1,35.1,24.4,5.8,12.9,8.3
05051010900,2023,10900,Garland County,Arkansas,265,32,191,42,0,2752,26,237,793,867,184,509,136,12.1,72.1,15.8,0.0,0.9,8.6,28.8,31.5,6.7,18.5,4.9
05051011001,2023,11001,Garland County,Arkansas,96,51,29,16,0,2147,65,138,692,339,278,266,369,53.1,30.2,16.7,0.0,3.0,6.4,32.2,15.8,12.9,12.4,17.2
05051011002,2023,11002,Garland County,Arkansas,186,11,136,24,15,1081,0,185,413,273,149,33,28,5.9,73.1,12.9,8.1,0.0,17.1,38.2,25.3,13.8,3.1,2.6
05051011101,2023,11101,Garland County,Arkansas,421,39,226,62,94,3836,138,300,1274,816,314,722,272,9.3,53.7,14.7,22.3,3.6,7.8,33.2,21.3,8.2,18.8,7.1
05051011102,2023,11102,Garland County,Arkansas,248,17,120,66,45,2891,0,205,1072,568,316,404,326,6.9,48.4,26.6,18.1,0.0,7.1,37.1,19.6,10.9,14.0,11.3
05051011201,2023,11201,Garland County,Arkansas,247,0,182,65,0,3727,12,74,1061,892,447,750,491,0.0,73.7,26.3,0.0,0.3,2.0,28.5,23.9,12.0,20.1,13.2
05051011202,2023,11202,Garland County,Arkansas,81,34,20,27,0,2505,25,171,705,724,225,439,216,42.0,24.7,33.3,0.0,1.0,6.8,28.1,28.9,9.0,17.5,8.6
05051011300,2023,11300,Garland County,Arkansas,282,34,161,58,29,3693,114,193,1210,982,326,638,230,12.1,57.1,20.6,10.3,3.1,5.2,32.8,26.6,8.8,17.3,6.2
05051011400,2023,11400,Garland County,Arkansas,473,151,148,174,0,1868,135,222,593,571,147,121,79,31.9,31.3,36.8,0.0,7.2,11.9,31.7,30.6,7.9,6.5,4.2
05051011500,2023,11500,Garland County,Arkansas,238,27,10,201,0,1572,63,192,587,314,46,281,89,11.3,4.2,84.5,0.0,4.0,12.2,37.3,20.0,2.9,17.9,5.7
05051011601,2023,11601,Garland County,Arkansas,558,39,311,191,17,3251,50,90,812,658,338,810,493,7.0,55.7,34.2,3.0,1.5,2.8,25.0,20.2,10.4,24.9,15.2
05051011602,2023,11602,Garland County,Arkansas,471,3,339,86,43,4199,78,338,945,858,407,945,628,0.6,72.0,18.3,9.1,1.9,8.0,22.5,20.4,9.7,22.5,15.0
05051011701,2023,11701,Garland County,Arkansas,375,0,261,114,0,2641,98,107,745,396,391,485,419,0.0,69.6,30.4,0.0,3.7,4.1,28.2,15.0,14.8,18.4,15.9
05051011702,2023,11702,Garland County,Arkansas,42,18,24,0,0,888,30,158,278,157,52,183,30,42.9,57.1,0.0,0.0,3.4,17.8,31.3,17.7,5.9,20.6,3.4
